A/C,Type,MSN,Altitude,Grounded,Export
DLH458  ,A350 941,146,11582.4,False,18/11/2021 - 16:21
DLH2PX  ,A350 941,136,11582.4,False,18/11/2021 - 16:21
DLH476  ,A350-941,nan,11582.4,False,18/11/2021 - 16:21
DLH1KY  ,A350 941,184,12192.0,False,18/11/2021 - 16:21
DLH412  ,A350 941,174,11582.4,False,18/11/2021 - 16:21
DAL9769 ,A350-941,164,12192.0,False,18/11/2021 - 16:21
AIB66IL ,A350 1041,59,12496.8,False,18/11/2021 - 16:21
HVN5509 ,A350 941,150,12192.0,False,18/11/2021 - 16:21
DAL295  ,A350-941,267,2781.3,False,18/11/2021 - 16:21
CPA261  ,A350 941,61,,True,18/11/2021 - 16:21
IBE31ZK ,A350-941,366,12192.0,False,18/11/2021 - 16:21
FIN71   ,A350 941,51,12496.8,False,18/11/2021 - 16:21
FIN141  ,A350 941,97,9113.52,False,18/11/2021 - 16:21
FIN73   ,Airbus A350-941,22,11018.52,False,18/11/2021 - 16:21
,A350-941,23,,False,18/11/2021 - 16:21
FIN41   ,A350 941,28,11490.96,False,18/11/2021 - 16:21
FIN153  ,A350 941,113,5989.32,False,18/11/2021 - 16:21
FIN87   ,A350 941,104,11277.6,False,18/11/2021 - 16:21
SIA8010 ,A350-900,nan,960.12,False,18/11/2021 - 16:21
BAW119  ,A350-1041,432,11277.6,False,18/11/2021 - 16:21
VIR3N   ,A350-1041,nan,38.1,False,18/11/2021 - 16:21
AIB     ,A350 941,1,,True,18/11/2021 - 16:21
VIR24M  , A350-1041,nan,967.74,False,18/11/2021 - 16:21
SIA378  ,A350 941,158,2156.46,False,18/11/2021 - 16:21
SIA361  ,A350-941,116,12496.8,False,18/11/2021 - 16:21
AFR218  ,A350-941,491,11887.2,False,18/11/2021 - 16:21
AFR963  ,A350-941,349,12192.0,False,18/11/2021 - 16:21
CPA252  ,,nan,11887.2,False,18/11/2021 - 16:21
CPA251  ,350-1041,306,,True,18/11/2021 - 16:21
QTR1188 ,A350 1041,88,11582.4,False,18/11/2021 - 16:21
QTR05C  ,Airbus A350 941,76,12496.8,False,18/11/2021 - 16:21
QTR39L  ,A350 941,42,4282.44,False,18/11/2021 - 16:21
QTR8861 ,A350 941,33,12496.8,False,18/11/2021 - 16:21
